Data_year;zone;type_habitat;epoque;nombre_pièces;loyer_moyen;moyenne_loyer_mensuel;surface_moyenne;nombre_observations
2015;69001;appartement; ;2;11,8;860;73;1514
2015;69001;maison; ;3;;;;4
2015;69001;appartement; ;4;10,8;1270;117;388
2015;69001;appartement; ;4;;;;3
2015;69001;appartement; ;1;15,4;495;32;253
2015;69001;appartement; ;2;12,8;670;52;436
2015;69001;appartement; ;3;11,6;892;77;433
2015;69001;appartement; ;4;10,9;1270;117;385
2015;69001;maison; ;1;15,4;495;32;255
2015;69001;appartement; ;2;12,8;670;52;437
2015;69001;appartement; ;3;11,6;891;77;434
2015;69001;appartement; ;3;;;;7
2015;69001;appartement; ;1;15,4;495;32;253
2015;69001;appartement; ;2;12,8;670;52;436
2015;69001;appartement; ;3;11,6;892;77;433
2015;69001;appartement; ;4;10,9;1270;117;385
2015;69001;appartement; ;1;15,4;495;32;255
2015;69001;appartement; ;2;12,8;670;52;437
2015;69001;appartement; ;3;11,6;891;77;434
2015;69001;appartement; ;4;10,8;1270;117;388
2015;69001;appartement; ;2;12,4;860;69;664
2015;69001;appartement; ;4;11,2;1413;127;155
2015;69001;appartement; ;1;15,9;490;31;123
2015;69001;appartement; ;2;13,3;685;52;202
2015;69001;appartement; ;3;12,2;922;75;184
2015;69001;appartement; ;2;11,5;860;75;850
2015;69001;appartement; ;4;10,7;1220;114;233
2015;69001;appartement; ;1;15,1;499;33;132
2015;69001;appartement; ;2;12,6;661;53;235
2015;69001;appartement; ;3;11,2;873;78;250
2015;69001;appartement; ;2;12,4;860;69;664
2015;69001;appartement; ;1;15,9;490;31;123
2015;69001;appartement; ;2;13,3;685;52;202
2015;69001;appartement; ;3;12,2;922;75;184
2015;69001;appartement; ;4;11,2;1413;127;155
2015;69001;appartement; ;2;11,5;860;75;850
2015;69001;appartement; ;1;15,1;499;33;132
2015;69001;appartement; ;2;12,6;661;53;235
2015;69001;appartement; ;3;11,2;873;78;250
2015;69001;appartement; ;4;10,7;1220;114;233
2015;69001;appartement; 1. Avant 1946;2;11,9;860;72;961
2015;69001;appartement; 1. Avant 1946;4;11,1;1426;129;246
2015;69001;appartement; 1. Avant 1946;1;15,4;505;33;165
2015;69001;appartement; 1. Avant 1946;2;12,5;667;53;289
2015;69001;appartement; 1. Avant 1946;3;11,5;889;77;261
2015;69001;appartement; 2. Entre 1946-1970;2;10,8;791;73;268
2015;69001;appartement; 2. Entre 1946-1970;4;10;1028;103;67
2015;69001;appartement; 2. Entre 1946-1970;1;;;;34
2015;69001;appartement; 2. Entre 1946-1970;2;13,7;630;46;71
2015;69001;appartement; 2. Entre 1946-1970;3;10,1;819;81;96
2015;69001;appartement; 3. Entre 1971-1990;2;12,1;848;70;110
2015;69001;appartement; 3. Entre 1971-1990;4;;;;17
2015;69001;appartement; 3. Entre 1971-1990;1;;;;42
2015;69001;appartement; 3. Entre 1971-1990;2;;;;35
2015;69001;appartement; 3. Entre 1971-1990;3;;;;16
2015;69001;appartement; 4. Entre 1991-2005;3;11,6;943;81;135
2015;69001;appartement; 4. Entre 1991-2005;4;10,2;1105;108;50
2015;69001;appartement; 4. Entre 1991-2005;1;;;;11
2015;69001;appartement; 4. Entre 1991-2005;2;;;;26
2015;69001;appartement; 4. Entre 1991-2005;3;;;;48
2015;69001;appartement; 5. Après 2005; ;;;;40
2015;69001;appartement; 5. Après 2005;4;;;;8
2015;69001;appartement; 5. Après 2005;1;;;;3
2015;69001;appartement; 5. Après 2005;2;;;;16
2015;69001;appartement; 5. Après 2005;3;;;;13
2015;69001;appartement;1. Avant 1946 ;2;11,9;860;72;961
2015;69001;appartement;1. Avant 1946 ;1;15,4;505;33;165
2015;69001;appartement;1. Avant 1946 ;2;12,5;667;53;289
2015;69001;appartement;1. Avant 1946 ;3;11,5;889;77;261
2015;69001;appartement;1. Avant 1946 ;4;11,1;1426;129;246
2015;69001;appartement;2. Entre 1946-1970 ;2;10,8;791;73;268
2015;69001;appartement;2. Entre 1946-1970 ;1;;;;34
2015;69001;appartement;2. Entre 1946-1970 ;2;;;;71
2015;69001;appartement;2. Entre 1946-1970 ;3;;;;96
2015;69001;maison;2. Entre 1946-1970 ;4;;;;67
2015;69001;appartement;3. Entre 1971-1990 ;2;12,1;848;70;110
2015;69001;appartement;3. Entre 1971-1990 ;1;;;;42
2015;69001;appartement;3. Entre 1971-1990 ;2;;;;35
2015;69001;appartement;3. Entre 1971-1990 ;3;;;;16
2015;69001;maison;3. Entre 1971-1990 ;4;;;;17
2015;69001;appartement;4. Entre 1991-2005 ;3;11,6;943;81;135
2015;69001;appartement;4. Entre 1991-2005 ;1;;;;11
2015;69001;appartement;4. Entre 1991-2005 ;2;;;;26
2015;69001;appartement;4. Entre 1991-2005 ;3;;;;48
2015;69001;appartement;4. Entre 1991-2005 ;4;;;;50
2015;69001;appartement;5. Après 2005 ; ;;;;40
2015;69001;appartement;5. Après 2005 ;1;;;;3
2015;69001;maison;5. Après 2005 ;2;;;;16
2015;69001;appartement;5. Après 2005 ;3;;;;13
2015;69001;appartement;5. Après 2005 ;4;;;;8
2015;69001;appartement; ; ;;;;7
2015;69001;maison; ;3;;;;4
2015;69001;appartement; ;4;;;;3
2015;69001;appartement; ;3;;;;7
2015;69001;appartement; ; ;;;;4
2015;69001;appartement; ;3;;;;2
2015;69001;appartement; ;4;;;;2
2015;69001;appartement; ; ;;;;3
2015;69001;maison; ;3;;;;2
2015;69001;appartement; ;4;;;;1
2015;69001;appartement; ; ;;;;4
2015;69001;appartement; ;3;;;;4
2015;69001;appartement; ; ;;;;3
2015;69001;appartement; ;3;;;;3
2015;69001;appartement; 1. Avant 1946; ;;;;3
2015;69001;appartement; 1. Avant 1946;3;;;;3
2015;69001;appartement; 1. Avant 1946; ;;;;2
2015;69001;appartement; 1. Avant 1946; ;;;;1
2015;69001;appartement; 2. Entre 1946-1970; ;;;;4
2015;69001;appartement; 2. Entre 1946-1970;3;;;;1
2015;69001;appartement; 2. Entre 1946-1970;4;;;;3
2015;69001;maison; 2. Entre 1946-1970; ;;;;2
2015;69001;appartement; 2. Entre 1946-1970; ;;;;2
2015;69001;appartement;1. Avant 1946 ; ;;;;3
2015;69001;appartement;1. Avant 1946 ;3;;;;3
2015;69001;appartement;1. Avant 1946 ; ;;;;2
2015;69001;appartement;1. Avant 1946 ; ;;;;1
2015;69001;appartement;2. Entre 1946-1970 ; ;;;;4
2015;69001;appartement;2. Entre 1946-1970 ;3;;;;4
2015;69001;appartement;2. Entre 1946-1970 ; ;;;;2
2015;69001;appartement;2. Entre 1946-1970 ; ;;;;2
2015;69001;appartement; ;2;11,8;860;73;1507
2015;69001;appartement; ;1;15,4;495;32;253
2015;69001;appartement; ;2;12,8;670;52;436
2015;69001;appartement; ;3;11,6;892;77;433
2015;69001;appartement; ;4;10,9;1270;117;385
2015;69001;appartement; ;1;15,4;495;32;253
2015;69001;appartement; ;2;12,8;670;52;436
2015;69001;appartement; ;3;11,6;892;77;433
2015;69001;appartement; ;4;10,9;1270;117;385
2015;69001;appartement; ;2;12,5;859;69;660
2015;69001;appartement; ;1;15,9;491;31;121
2015;69001;appartement; ;2;13,3;685;52;202
2015;69001;appartement; ;3;12,2;922;75;184
2015;69001;appartement; ;4;11,3;1418;126;153
2015;69001;appartement; ;2;11,5;860;75;847
2015;69001;appartement; ;1;15,1;499;33;132
2015;69001;appartement; ;2;12,6;661;53;234
2015;69001;appartement; ;3;11,2;873;78;249
2015;69001;appartement; ;4;10,7;1221;114;232
2015;69001;appartement; ;2;12,5;859;69;660
2015;69001;appartement; ;1;15,9;491;31;121
2015;69001;appartement; ;2;13,3;685;52;202
2015;69001;appartement; ;3;12,2;922;75;184
2015;69001;appartement; ;4;11,3;1418;126;153
2015;69001;appartement; ;2;11,5;860;75;847
2015;69001;appartement; ;1;15,1;499;33;132
2015;69001;appartement; ;2;12,6;661;53;234
2015;69001;appartement; ;3;11,2;873;78;249
2015;69001;appartement; ;4;10,7;1221;114;232
2015;69001;appartement; 1. Avant 1946;2;11,9;860;72;958
2015;69001;appartement; 1. Avant 1946;1;15,3;506;33;163
2015;69001;appartement; 1. Avant 1946;2;12,5;667;53;289
2015;69001;appartement; 1. Avant 1946;3;11,5;889;77;260
2015;69001;appartement; 1. Avant 1946;4;11,1;1426;129;246
2015;69001;appartement; 1. Avant 1946;2;12,4;874;71;451
2015;69001;appartement; 1. Avant 1946;2;11,7;852;73;507
2015;69001;appartement; 2. Entre 1946-1970;2;10,9;785;72;264
2015;69001;appartement; 2. Entre 1946-1970;1;;;;34
2015;69001;appartement; 2. Entre 1946-1970;2;13,7;630;46;70
2015;69001;appartement; 2. Entre 1946-1970;3;10,1;819;81;96
